epoch,step,train_loss
0,49,8.10190200805664
0,99,6.395031452178955
0,149,4.875580787658691
0,199,3.966958522796631
0,249,3.9239072799682617
0,299,3.8727803230285645
0,349,4.273136138916016
0,399,3.1122965812683105
0,449,3.6329457759857178
1,499,3.3420705795288086
1,549,3.0737905502319336
1,599,3.0892345905303955
1,649,3.2578954696655273
1,699,7.093956470489502
1,749,3.1141369342803955
1,799,2.5694100856781006
1,849,3.2860119342803955
1,899,4.8842973709106445
2,949,4.915630340576172
2,999,2.7917656898498535
2,1049,6.080502986907959
2,1099,9.302943229675293
2,1149,3.034276008605957
2,1199,4.431528091430664
2,1249,2.9553990364074707
2,1299,4.059515476226807
2,1349,3.164309024810791
2,1399,3.529338836669922
3,1449,2.9889001846313477
3,1499,3.015049457550049
3,1549,2.4028286933898926
3,1599,4.729989051818848
3,1649,3.813636302947998
3,1699,5.907267093658447
3,1749,2.59079647064209
3,1799,5.0518717765808105
3,1849,5.658218860626221
4,1899,3.450869560241699
4,1949,2.7810256481170654
4,1999,6.702193260192871
4,2049,5.126916408538818
4,2099,2.3505454063415527
4,2149,2.706129550933838
4,2199,9.028465270996094
4,2249,2.615598201751709
4,2299,3.4094960689544678
4,2349,3.180687427520752
5,2399,3.0852737426757812
5,2449,3.8842523097991943
5,2499,5.287417888641357
5,2549,5.3643269538879395
5,2599,2.9397621154785156
5,2649,2.2345826625823975
5,2699,3.5872838497161865
5,2749,4.294168472290039
5,2799,3.519788980484009
6,2849,4.572333812713623
6,2899,2.7450051307678223
6,2949,4.265527248382568
6,2999,2.314972162246704
6,3049,2.968453884124756
6,3099,4.7325286865234375
6,3149,5.357413291931152
6,3199,2.3215999603271484
6,3249,3.899106740951538
6,3299,3.605165719985962
7,3349,4.77000093460083
7,3399,5.088863372802734
7,3449,2.7879858016967773
7,3499,2.6028521060943604
7,3549,7.675792217254639
7,3599,5.255743026733398
7,3649,5.289322853088379
7,3699,4.662400245666504
7,3749,2.51076078414917
8,3799,3.887136459350586
8,3849,4.498405456542969
8,3899,4.482767581939697
8,3949,2.5845699310302734
8,3999,2.529313087463379
8,4049,6.248995780944824
8,4099,2.507887363433838
8,4149,5.006296634674072
8,4199,2.481511116027832
8,4249,5.402803897857666
9,4299,4.567495822906494
9,4349,3.0332446098327637
9,4399,2.0944716930389404
9,4449,2.583850145339966
9,4499,2.4619157314300537
9,4549,2.6150546073913574
9,4599,2.907158851623535
9,4649,3.8452413082122803
9,4699,4.169224262237549
10,4749,3.336064577102661
10,4799,4.9274773597717285
10,4849,2.2085673809051514
10,4899,2.5798518657684326
10,4949,2.4315011501312256
10,4999,4.773128509521484
10,5049,2.479740858078003
10,5099,2.071629524230957
10,5149,2.581218957901001
10,5199,2.151834487915039
11,5249,2.5629496574401855
11,5299,2.717189073562622
11,5349,3.9667279720306396
11,5399,3.822899580001831
11,5449,3.297300100326538
11,5499,2.665961742401123
11,5549,2.4495468139648438
11,5599,5.195083141326904
11,5649,2.1497318744659424
12,5699,5.337184429168701
12,5749,2.496027946472168
12,5799,3.729351282119751
12,5849,2.513286828994751
12,5899,2.9175243377685547
12,5949,4.049772262573242
12,5999,3.9730916023254395
12,6049,2.6094655990600586
12,6099,3.152407169342041
12,6149,1.9931929111480713
13,6199,4.959889888763428
13,6249,3.696244955062866
13,6299,2.1479523181915283
13,6349,1.9523658752441406
13,6399,4.572676181793213
13,6449,5.228247165679932
13,6499,2.825230121612549
13,6549,2.8734376430511475
13,6599,3.9870636463165283
14,6649,4.384111404418945
14,6699,4.004650115966797
14,6749,4.0494465827941895
14,6799,3.767683982849121
14,6849,4.994650840759277
14,6899,2.4653077125549316
14,6949,2.0887296199798584
14,6999,3.5416135787963867
14,7049,6.746988296508789
14,7099,5.524002552032471
15,7149,4.238977432250977
15,7199,2.479344129562378
15,7249,4.857684135437012
15,7299,5.382946491241455
15,7349,2.560914993286133
15,7399,2.3555965423583984
15,7449,2.4369089603424072
15,7499,2.186577558517456
15,7549,2.3997716903686523
16,7599,5.907303810119629
16,7649,4.727519512176514
16,7699,5.807115077972412
16,7749,2.440779685974121
16,7799,3.80318546295166
16,7849,2.2355704307556152
16,7899,2.18217396736145
16,7949,2.8808975219726562
16,7999,4.813282012939453
16,8049,2.489854335784912
17,8099,2.077840805053711
17,8149,4.574938774108887
17,8199,2.1927952766418457
17,8249,2.514646053314209
17,8299,4.533905506134033
17,8349,2.212151288986206
17,8399,4.118884563446045
17,8449,4.828283309936523
17,8499,3.5056955814361572
18,8549,2.010403871536255
18,8599,2.1165342330932617
18,8649,2.2543983459472656
18,8699,3.6199145317077637
18,8749,2.2152466773986816
18,8799,2.452146053314209
18,8849,3.943657875061035
18,8899,4.237641334533691
18,8949,5.406270503997803
18,8999,1.8330439329147339
19,9049,4.964319705963135
19,9099,2.6443278789520264
19,9149,3.8809168338775635
19,9199,3.1664633750915527
19,9249,5.43204927444458
19,9299,3.8463549613952637
19,9349,4.939321994781494
19,9399,3.358297824859619
19,9449,3.7511024475097656
