epoch,step,train_loss
1,49,4.701582908630371
2,99,2.6875786781311035
3,149,1.6544151306152344
4,199,1.623669981956482
5,249,1.319664716720581
6,299,1.362584114074707
8,349,1.1756188869476318
9,399,0.7661930918693542
10,449,0.9229740500450134
11,499,1.156211495399475
12,549,0.7168722748756409
13,599,0.9381434917449951
15,649,0.9009524583816528
16,699,0.5558183789253235
17,749,1.085898756980896
18,799,0.8010448813438416
19,849,0.4674149453639984
20,899,0.9911723732948303
22,949,1.498306155204773
23,999,0.5928378105163574
24,1049,1.4185805320739746
25,1099,0.7258564829826355
26,1149,1.358901858329773
27,1199,0.7382434010505676
29,1249,0.7202001214027405
30,1299,1.1755188703536987
31,1349,1.1578267812728882
32,1399,0.9033952951431274
33,1449,0.8499683141708374
34,1499,1.1035902500152588
