epoch,step,train_loss
0,49,6.129701614379883
1,99,3.1138055324554443
2,149,1.926745057106018
3,199,1.6364670991897583
4,249,1.2820382118225098
5,299,0.931668758392334
6,349,1.149930477142334
7,399,1.2908145189285278
8,449,1.364831805229187
9,499,1.006889820098877
10,549,1.7716599702835083
11,599,1.070072889328003
12,649,0.9654740691184998
12,699,0.7862998247146606
13,749,1.209742546081543
14,799,0.9931915998458862
15,849,0.7716394662857056
16,899,1.047223687171936
17,949,0.9457888007164001
18,999,0.4125954210758209
19,1049,0.6312759518623352
